Tahun.Akademik,Tanggal.Daftar,Program.Studi,Jumlah.Mhs,Jumlah.Grade.A,Jumlah.Grade.B,Jumlah.Grade.C,Jumlah.Grade.D,Kode.Sekolah,Nama.Sekolah,Nama.Kota,,,,,,
2011/2012,04-06-2011,MANAJEMEN (S-1),1,0,0,1,0,10211534,SMA IR.H.DJUANDA,TEBING TINGGI,,,,,,
2011/2012,04-06-2011,MANAJEMEN (S-1),3,0,3,0,0,10210836,SMA S SUTOMO 2,MEDAN,,,,,,
2011/2012,04-06-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210831,SMA S WIYATA DHARMA,MEDAN,,,,,,
2011/2012,04-06-2011,AKUNTANSI (S-1),1,0,1,0,0,10210832,SMA S WR SUPRATMAN 2,MEDAN,,,,,,
2011/2012,04-06-2011,AKUNTANSI (S-1),1,0,0,1,0,10210832,SMA S WR SUPRATMAN 2,MEDAN,,,,,,
2011/2012,04-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10210756,SMA S JENDRAL SUDIRMAN,MEDAN,,,,,,
2011/2012,04-06-2011,AKUNTANSI (S-1),1,0,0,0,1,10210750,SMA S HUSNI THAMRIN,MEDAN,,,,,,
2011/2012,04-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10000001,SMA F. TANDEAN,TEBING TINGGI,,,,,,
2011/2012,04-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10000001,SMA F. TANDEAN,TEBING TINGGI,,,,,,
2011/2012,04-06-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10000001,SMA F. TANDEAN,TEBING TINGGI,,,,,,
2011/2012,04-06-2011,SISTEM INFORMASI (S-1),2,0,0,2,0,10000005,SMA METHODIST 2 KISARAN,ASAHAN,,,,,,
2011/2012,04-06-2011,AKUNTANSI (S-1),1,0,0,1,0,10405126,SMAS METHODIST,ROKAN HILIR,,,,,,
2011/2012,04-07-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10000009,SMA METHODIST 2 RANTAU PRAPAT,LABUHAN BATU,,,,,,
2011/2012,04-07-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10000047,SMA S METHODIST 3,MEDAN,,,,,,
2011/2012,04-07-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210763,SMKN 3 MEDAN,MEDAN,,,,,,
2011/2012,04-07-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10603844,SMA 3 PALEMBANG,PALEMBANG,,,,,,
2011/2012,04-08-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10211279,SMK (SMEA) S METHODIST 8,MEDAN,,,,,,
2011/2012,04-08-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10211680,SMA KRISTEN KALAM KUDUS,PEMATANG SIANTAR,,,,,,
2011/2012,04-08-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2011/2012,04-08-2011,MANAJEMEN (S-1),1,0,0,0,1,10210903,SMA S METHODIST 2,MEDAN,,,,,,
2011/2012,04-08-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,50103731,SMK TRI ATMAJAYA,BULELENG,,,,,,
2011/2012,05-07-2011,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10000075,SMAN 1 MANYAK PAYED ACEH TAMIANG,ACEH TAMIANG,,,,,,
2011/2012,05-07-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10205391,SMAN 1 KUALUH SELATAN,LABUHAN BATU,,,,,,
2011/2012,05-07-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10210861,SMAN 8 MEDAN,MEDAN,,,,,,
2011/2012,05-08-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210864,SMAN 15 MEDAN,MEDAN,,,,,,
2011/2012,05-08-2011,SISTEM INFORMASI (S-1),2,0,0,2,0,10210820,SMA S BRIGJEND KATAMSO,MEDAN,,,,,,
2011/2012,05-08-2011,MANAJEMEN (S-1),1,0,0,1,0,10214127,SMA METHODIST LUBUK PAKAM,DELI SERDANG,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210857,SMAN 4 MEDAN,MEDAN,,,,,,
2011/2012,05-09-2011,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10210855,SMAN 21 MEDAN,MEDAN,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210831,SMA S WIYATA DHARMA,MEDAN,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210902,SMA S METHODIST 1,MEDAN,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210906,SMA S METHODIST 8,MEDAN,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210702,SMA S BUDDHIS BODHICITTA,MEDAN,,,,,,
2011/2012,05-09-2011,TEKNIK INFORMATIKA (S-1),1,1,0,0,0,10210709,SMA S ERIA,MEDAN,,,,,,
2011/2012,05-09-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10210725,SMA S CAHAYA,MEDAN,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10201992,SMAN 2 KABANJAHE,KARO,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10200413,SMK (SMEA) PEMBANGUNAN GALANG,DELI SERDANG,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10104038,SMAN 1 SINGKIL UTARA,ACEH SINGKIL,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10000006,SMAN 1 KEJURUAN MUDA,ACEH TAMIANG,,,,,,
2011/2012,05-09-2011,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10211688,SMA KAMPUS FKIP NOMENSEN,PEMATANG SIANTAR,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10211704,SMAN 2 PEMATANG SIANTAR,PEMATANG SIANTAR,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10212116,SMAN 1 SIBOLGA,SIBOLGA,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10212022,SMA SISINGAMANGARAJA,TANJUNG BALAI,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10258023,SMA KATOLIK TRISAKTI,MEDAN,,,,,,
2011/2012,05-09-2011,AKUNTANSI (S-1),1,0,0,0,1,10257832,SMA GAJAH MADA DURIAN,MEDAN,,,,,,
2011/2012,05-09-2011,MANAJEMEN (S-1),1,0,0,1,0,10201062,SMK N 1 STABAT,LANGKAT,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10208724,SMAN 1 DOLOKSANGGUL,HUMBANG HASUNDUTAN,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10404299,SMA SANTO TARCISIUS,DUMAI,,,,,,
2011/2012,05-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10303474,SMA KRISTEN KALAM KUDUS PADANG,PADANG,,,,,,
2011/2012,06-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10211680,SMA KRISTEN KALAM KUDUS,PEMATANG SIANTAR,,,,,,
2011/2012,06-06-2011,AKUNTANSI (S-1),1,0,1,0,0,10211533,SMA F.TANDEAN,TEBING TINGGI,,,,,,
2011/2012,06-06-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10211316,SMA METHODIST BINJAI,BINJAI,,,,,,
2011/2012,06-06-2011,SISTEM INFORMASI (S-1),6,0,6,0,0,10211316,SMA METHODIST BINJAI,BINJAI,,,,,,
2011/2012,06-06-2011,SISTEM INFORMASI (S-1),1,1,0,0,0,10000001,SMA F. TANDEAN,TEBING TINGGI,,,,,,
2011/2012,06-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10000001,SMA F. TANDEAN,TEBING TINGGI,,,,,,
2011/2012,06-06-2011,AKUNTANSI (S-1),1,0,1,0,0,10210714,SMA S HANG KESTURI,MEDAN,,,,,,
2011/2012,06-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10210705,SMA S DR.WAHIDIN S.HUSODO,MEDAN,,,,,,
2011/2012,06-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210705,SMA S DR.WAHIDIN S.HUSODO,MEDAN,,,,,,
2011/2012,06-06-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210831,SMA S WIYATA DHARMA,MEDAN,,,,,,
2011/2012,06-06-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10210831,SMA S WIYATA DHARMA,MEDAN,,,,,,
2011/2012,06-06-2011,AKUNTANSI (S-1),1,0,1,0,0,10210832,SMA S WR SUPRATMAN 2,MEDAN,,,,,,
2011/2012,06-06-2011,MANAJEMEN (S-1),1,0,0,1,0,10205374,SMA PANGLIMA POLEM R. PRAPAT,LABUHAN BATU,,,,,,
2011/2012,06-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2011/2012,06-06-2011,AKUNTANSI (S-1),1,0,0,1,0,10214127,SMA METHODIST LUBUK PAKAM,DELI SERDANG,,,,,,
2011/2012,06-07-2011,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10211094,SMK (STM) S MULTI KARYA MEDAN,MEDAN,,,,,,
2011/2012,06-07-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10210705,SMA S DR.WAHIDIN S.HUSODO,MEDAN,,,,,,
2011/2012,06-07-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10102285,SMAN 1 TAKENGON,ACEH TENGAH,,,,,,
2011/2012,06-07-2011,TEKNIK INFORMATIKA (S-1),1,1,0,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2011/2012,06-07-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10807032,SMA IMMANUEL,BANDAR LAMPUNG,,,,,,
2011/2012,06-08-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10000047,SMA S METHODIST 3,MEDAN,,,,,,
2011/2012,06-08-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10209397,SMAN 1 PERBAUNGAN,SERDANG BEDAGAI,,,,,,
2011/2012,06-08-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210910,SMA S PANCA BUDI,MEDAN,,,,,,
2011/2012,06-08-2011,AKUNTANSI (S-1),1,0,0,0,1,10210874,SMAN 10 MEDAN,MEDAN,,,,,,
2011/2012,06-08-2011,AKUNTANSI (S-1),1,0,0,1,0,10211680,SMA KRISTEN KALAM KUDUS,PEMATANG SIANTAR,,,,,,
2011/2012,06-08-2011,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10211818,SMK TELADAN,PEMATANG SIANTAR,,,,,,
2011/2012,06-08-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10212131,SMAN 3 SIBOLGA,SIBOLGA,,,,,,
2011/2012,06-08-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10609782,SMA XAVERIUS,LUBUK LINGGAU,,,,,,
2011/2012,06-09-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10211711,SMA SULTAN AGUNG,PEMATANG SIANTAR,,,,,,
2011/2012,06-09-2011,AKUNTANSI (S-1),1,0,1,0,0,10211680,SMA KRISTEN KALAM KUDUS,PEMATANG SIANTAR,,,,,,
2011/2012,06-09-2011,MANAJEMEN (S-1),1,0,0,0,1,10211388,SMK SATRIA (BM),BINJAI,,,,,,
2011/2012,06-09-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10211592,SMKN 2 TEBING TINGGI,TEBING TINGGI,,,,,,
2011/2012,06-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10209421,SMA R.A KARTINI,SERDANG BEDAGAI,,,,,,
2011/2012,06-09-2011,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10210733,SMA S KATOLIK BUDI MURNI 2,MEDAN,,,,,,
2011/2012,06-09-2011,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10208185,SMAN 2 PANYABUNGAN UTARA,MANDAILING NATAL,,,,,,
2011/2012,06-09-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10000047,SMA S METHODIST 3,MEDAN,,,,,,
2011/2012,06-09-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10105395,SMA METHODIST BANDA ACEH,BANDA ACEH,,,,,,
2011/2012,06-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10402954,SMA 1 TANDUN,ROKAN HULU,,,,,,
2011/2012,06-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10000046,SMA SETIA BUDI,MEDAN,,,,,,
2011/2012,06-09-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210745,SMA S KARTIKA I-2 MEDAN,MEDAN,,,,,,
2011/2012,06-09-2011,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10210853,SMAN 2 MEDAN,MEDAN,,,,,,
2011/2012,07-06-2011,SISTEM INFORMASI (S-1),1,1,0,0,0,10000001,SMA F. TANDEAN,TEBING TINGGI,,,,,,
2011/2012,07-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10000001,SMA F. TANDEAN,TEBING TINGGI,,,,,,
2011/2012,07-06-2011,AKUNTANSI (S-1),1,0,1,0,0,10000003,SMA BUDDHIST BODDHICITTA,MEDAN,,,,,,
2011/2012,07-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10000001,SMA F. TANDEAN,TEBING TINGGI,,,,,,
2011/2012,07-06-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210705,SMA S DR.WAHIDIN S.HUSODO,MEDAN,,,,,,
2011/2012,07-06-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210831,SMA S WIYATA DHARMA,MEDAN,,,,,,
2011/2012,07-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210838,SMA S SRIWIJAYA,MEDAN,,,,,,
2011/2012,07-06-2011,MANAJEMEN (S-1),1,0,1,0,0,10211711,SMA SULTAN AGUNG,PEMATANG SIANTAR,,,,,,
2011/2012,07-06-2011,MANAJEMEN (S-1),1,0,0,1,0,10211711,SMA SULTAN AGUNG,PEMATANG SIANTAR,,,,,,
2011/2012,07-06-2011,SISTEM INFORMASI (S-1),1,1,0,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2011/2012,07-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10212217,SMAN 2 P.SIDIMPUAN,PADANG SIDEMPUAN,,,,,,
2011/2012,07-06-2011,AKUNTANSI (S-1),2,0,0,2,0,10214127,SMA METHODIST LUBUK PAKAM,DELI SERDANG,,,,,,
2011/2012,07-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,20231426,SMK PANDU,KAB. BOGOR,,,,,,
2011/2012,07-07-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10211305,SMAN 1 BINJAI,BINJAI,,,,,,
2011/2012,07-07-2011,AKUNTANSI (S-1),1,0,0,0,1,10220287,SMA HKBP 1 TARUTUNG,TAPANULI UTARA,,,,,,
2011/2012,07-07-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210844,SMA S SUPRIYADI,MEDAN,,,,,,
2011/2012,07-07-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10210856,SMAN 3 MEDAN,MEDAN,,,,,,
2011/2012,07-07-2011,MANAJEMEN (S-1),1,0,0,1,0,10210705,SMA S DR.WAHIDIN S.HUSODO,MEDAN,,,,,,
2011/2012,07-07-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10000002,SMA TRI RATNA,SIBOLGA,,,,,,
2011/2012,07-07-2011,MANAJEMEN (S-1),1,1,0,0,0,10000047,SMA S METHODIST 3,MEDAN,,,,,,
2011/2012,07-07-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10404299,SMA SANTO TARCISIUS,DUMAI,,,,,,
2011/2012,07-09-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10202730,SMKN 1 RAYA,SIMALUNGUN,,,,,,
2011/2012,07-09-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210725,SMA S CAHAYA,MEDAN,,,,,,
2011/2012,07-09-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10210780,SMK (STM) S TELADAN MEDAN,MEDAN,,,,,,
2011/2012,07-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210860,SMAN 7 MEDAN,MEDAN,,,,,,
2011/2012,07-09-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210922,SMA S SANTA MARIA,MEDAN,,,,,,
2011/2012,07-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210922,SMA S SANTA MARIA,MEDAN,,,,,,
2011/2012,07-09-2011,MANAJEMEN (S-1),1,0,1,0,0,10210922,SMA S SANTA MARIA,MEDAN,,,,,,
2011/2012,07-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210926,SMA S PRAYATNA,MEDAN,,,,,,
2011/2012,07-09-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10219089,SMU SINAR HUSNI,DELI SERDANG,,,,,,
2011/2012,07-09-2011,MANAJEMEN (S-1),1,0,0,1,0,10211711,SMA SULTAN AGUNG,PEMATANG SIANTAR,,,,,,
2011/2012,07-09-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210861,SMAN 8 MEDAN,MEDAN,,,,,,
2011/2012,08-06-2011,MANAJEMEN (S-1),1,1,0,0,0,10211534,SMA IR.H.DJUANDA,TEBING TINGGI,,,,,,
2011/2012,08-06-2011,MANAJEMEN (S-1),1,0,1,0,0,10211534,SMA IR.H.DJUANDA,TEBING TINGGI,,,,,,
2011/2012,08-06-2011,AKUNTANSI (S-1),1,0,1,0,0,10211534,SMA IR.H.DJUANDA,TEBING TINGGI,,,,,,
2011/2012,08-06-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10211533,SMA F.TANDEAN,TEBING TINGGI,,,,,,
2011/2012,08-06-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10220218,SMAN 1 SUNGGAL,DELI SERDANG,,,,,,
2011/2012,08-06-2011,AKUNTANSI (S-1),1,0,0,0,1,10000001,SMA F. TANDEAN,TEBING TINGGI,,,,,,
2011/2012,08-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2011/2012,08-06-2011,MANAJEMEN (S-1),2,0,2,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2011/2012,08-06-2011,MANAJEMEN (S-1),1,0,0,1,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2011/2012,08-06-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210903,SMA S METHODIST 2,MEDAN,,,,,,
2011/2012,08-07-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10258062,SMA METHODIST 2,TANJUNG BALAI,,,,,,
2011/2012,08-08-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210864,SMAN 15 MEDAN,MEDAN,,,,,,
2011/2012,08-08-2011,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10210831,SMA S WIYATA DHARMA,MEDAN,,,,,,
2011/2012,08-08-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210720,SMA S BUDI MURNI 1,MEDAN,,,,,,
2011/2012,08-08-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210714,SMA S HANG KESTURI,MEDAN,,,,,,
2011/2012,08-08-2011,MANAJEMEN (S-1),1,0,0,1,0,10257832,SMA GAJAH MADA DURIAN,MEDAN,,,,,,
2011/2012,08-08-2011,MANAJEMEN (S-1),1,0,0,0,1,10257832,SMA GAJAH MADA DURIAN,MEDAN,,,,,,
2011/2012,08-08-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10214180,SMAS RAKYAT P. BATU,DELI SERDANG,,,,,,
2011/2012,08-09-2011,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10214127,SMA METHODIST LUBUK PAKAM,DELI SERDANG,,,,,,
2011/2012,09-06-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10211818,SMK TELADAN,PEMATANG SIANTAR,,,,,,
2011/2012,09-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10211697,SMA RK BINTANG TIMUR P. SIANTAR,PEMATANG SIANTAR,,,,,,
2011/2012,09-06-2011,SISTEM INFORMASI (S-1),2,0,0,2,0,10209413,SMA METHODIST PERBAUNGAN,SERDANG BEDAGAI,,,,,,
2011/2012,09-06-2011,SISTEM INFORMASI (S-1),2,0,0,0,2,10209413,SMA METHODIST PERBAUNGAN,SERDANG BEDAGAI,,,,,,
2011/2012,09-06-2011,AKUNTANSI (S-1),1,0,1,0,0,10210702,SMA S BUDDHIS BODHICITTA,MEDAN,,,,,,
2011/2012,09-06-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210766,SMKN 9 MEDAN,MEDAN,,,,,,
2011/2012,09-06-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210836,SMA S SUTOMO 2,MEDAN,,,,,,
2011/2012,09-06-2011,AKUNTANSI (S-1),1,0,1,0,0,10000003,SMA BUDDHIST BODDHICITTA,MEDAN,,,,,,
2011/2012,09-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10000005,SMA METHODIST 2 KISARAN,ASAHAN,,,,,,
2011/2012,09-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10000005,SMA METHODIST 2 KISARAN,ASAHAN,,,,,,
2011/2012,09-06-2011,TEKNIK INFORMATIKA (S-1),2,0,2,0,0,10201321,SMA SAMANHUDI,LANGKAT,,,,,,
2011/2012,09-06-2011,TEKNIK INFORMATIKA (S-1),2,0,0,2,0,10201321,SMA SAMANHUDI,LANGKAT,,,,,,
2011/2012,09-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10201321,SMA SAMANHUDI,LANGKAT,,,,,,
2011/2012,09-06-2011,SISTEM INFORMASI (S-1),3,0,0,3,0,10201321,SMA SAMANHUDI,LANGKAT,,,,,,
2011/2012,09-06-2011,AKUNTANSI (S-1),1,0,0,1,0,10201321,SMA SAMANHUDI,LANGKAT,,,,,,
2011/2012,09-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10204241,SMA METHODIST 2,ASAHAN,,,,,,
2011/2012,09-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10205374,SMA PANGLIMA POLEM R. PRAPAT,LABUHAN BATU,,,,,,
2011/2012,09-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2011/2012,09-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210903,SMA S METHODIST 2,MEDAN,,,,,,
2011/2012,09-06-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210903,SMA S METHODIST 2,MEDAN,,,,,,
2011/2012,09-07-2011,AKUNTANSI (S-1),1,0,0,1,0,10208459,SMAN 1 LUMBANJULU,TOBA SAMOSIR,,,,,,
2011/2012,09-07-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10104056,SMKN 1 SIMPANG KIRI,ACEH SINGKIL,,,,,,
2011/2012,09-07-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,20100603,SMA KRISTEN YUSUF,JAKARTA UTARA,,,,,,
2011/2012,09-08-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10000070,SMA S HARAPAN 2,MEDAN,,,,,,
2011/2012,09-08-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10208463,SMAN 1 BALIGE,TOBA SAMOSIR,,,,,,
2011/2012,09-08-2011,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10210906,SMA S METHODIST 8,MEDAN,,,,,,
2011/2012,09-08-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10209425,SMA SETIA BUDI PERBAUNGAN,SERDANG BEDAGAI,,,,,,
2011/2012,09-08-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10211685,SMA METHODIST PEMATANG SIANTAR,PEMATANG SIANTAR,,,,,,
2011/2012,09-08-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10211389,SMAN 5 BINJAI,BINJAI,,,,,,
2011/2012,09-08-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210820,SMA S BRIGJEND KATAMSO,MEDAN,,,,,,
2011/2012,09-08-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2011/2012,10-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10211291,SMA AHMAD YANI,BINJAI,,,,,,
2011/2012,10-06-2011,SISTEM INFORMASI (S-1),1,0,1,0,0,10211316,SMA METHODIST BINJAI,BINJAI,,,,,,
2011/2012,10-06-2011,AKUNTANSI (S-1),1,0,0,0,1,10212023,SMA TRITUNGGAL,TANJUNG BALAI,,,,,,
2011/2012,10-06-2011,MANAJEMEN (S-1),1,0,0,1,0,10210714,SMA S HANG KESTURI,MEDAN,,,,,,
2011/2012,10-06-2011,TEKNIK INFORMATIKA (S-1),1,1,0,0,0,10000047,SMA S METHODIST 3,MEDAN,,,,,,
2011/2012,10-06-2011,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10000047,SMA S METHODIST 3,MEDAN,,,,,,
2011/2012,10-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10000054,SMAN 1 MEULABOH,ACEH BARAT,,,,,,
2011/2012,10-06-2011,AKUNTANSI (S-1),1,1,0,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2011/2012,10-06-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10211220,SMK (SMEA) S APIPSU MEDAN,MEDAN,,,,,,
2011/2012,10-06-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10214127,SMA METHODIST LUBUK PAKAM,DELI SERDANG,,,,,,
2011/2012,10-08-2011,MANAJEMEN (S-1),1,0,0,0,1,10000038,SMA PANCA KARYA,LANGKAT,,,,,,
2011/2012,10-08-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10105737,SMAN 3 LANGSA,LANGSA,,,,,,
2011/2012,10-08-2011,TEKNIK INFORMATIKA (S-1),1,1,0,0,0,10210814,SMA S ADVEND 1,MEDAN,,,,,,
2011/2012,10-08-2011,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10210914,SMA S S KAT BUDI MURNI 1,MEDAN,,,,,,
2011/2012,10-08-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210868,SMA S YPK MEDAN,MEDAN,,,,,,
2011/2012,10-08-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210860,SMAN 7 MEDAN,MEDAN,,,,,,
2011/2012,10-08-2011,SISTEM INFORMASI (S-1),1,0,0,1,0,10205186,SMK (SMEA) PGRI 15 RANTAUPRAPAT,LABUHAN BATU,,,,,,
2011/2012,10-08-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2011/2012,10-08-2011,TEKNIK INFORMATIKA (S-1),1,0,0,0,1,10259159,SMK YAPIM,MEDAN,,,,,,
2011/2012,10-09-2011,SISTEM INFORMASI (S-1),1,0,0,0,1,10210905,SMA S METHODIST 7,MEDAN,,,,,,
